baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EJCDLKNP_02726	773.043578651982	-3.54386794360901	0.121226313418034	-29.233487711438	7.28139607438736e-188	6.58834753236736e-187
EJCDLKNP_01091	8263.06229527407	-3.53080426320975	0.0654778143752291	-53.9236731845693	0	0
EJCDLKNP_00400	236.927476527293	-3.50966170233329	0.192234186143237	-18.2572193466056	1.81291839708296e-74	7.8699521168168e-74
EJCDLKNP_01793	3155.54710183652	-3.45006202515806	0.075770597909978	-45.5329919562867	0	0
EJCDLKNP_01265	94.8969423608394	-3.38669625994671	0.285848672957101	-11.847864203501	2.20745355219075e-32	5.995651420236e-32
EJCDLKNP_02076	418.338431940072	-3.38538410243917	0.167280708626574	-20.2377436719047	4.55552783913077e-91	2.3233965413835e-90
EJCDLKNP_00402	45.6496227243203	-3.36272258898655	0.416446765382323	-8.0747957926852	6.75896640098988e-16	1.39545945488478e-15
EJCDLKNP_01778	324.428220673291	-3.30270065019504	0.179781196519887	-18.370667868092	2.25618405984979e-75	9.92324585034958e-75
EJCDLKNP_00504	8749.43240133506	-3.29833903840363	0.0659574778535033	-50.0070522061123	0	0
EJCDLKNP_01777	382.606214379406	-3.26760083552394	0.149330830888458	-21.8816222750723	3.88765813407029e-106	2.24587019898984e-105
EJCDLKNP_00378	5878.67034896764	-3.25813363839861	0.0650655429975934	-50.0746399445114	0	0
EJCDLKNP_02602	3205.90890258947	-3.24621596574297	0.0720894216022633	-45.0304065921518	0	0
EJCDLKNP_00961	9.06240478650186	-3.23586498081867	0.897882576522561	-3.60388436687452	0.000313496571811269	0.000459163189527573
EJCDLKNP_00366	23.4164115870337	-3.22429965715147	0.547065889059756	-5.89380497236464	3.77402574398235e-09	6.63380534518607e-09
EJCDLKNP_00377	3711.10757211756	-3.2068093246243	0.0695298060094627	-46.1213615954554	0	0
EJCDLKNP_01312	1.93759257424765	-3.20539701644395	1.73525883275402	-1.84721550234479	0.0647159134821209	0.0811644213735467
EJCDLKNP_01282	392.63457203866	-3.1463065734973	0.156004367530566	-20.1680672361999	1.8679748848469e-90	9.49474882247055e-90
EJCDLKNP_00234	765.239010527549	-3.13420986112338	0.115764518506708	-27.0740111180245	1.99259081857853e-161	1.59619808506931e-160
EJCDLKNP_02110	5190.11484360399	-3.13128437821791	0.0774209136482333	-40.4449422083171	0	0
EJCDLKNP_01370	60124.9697524786	-3.12983706944507	0.0558491952269188	-56.0408624820527	0	0
EJCDLKNP_00828	8537.27691928075	-3.11492537291015	0.0647264189460179	-48.1244818365127	0	0
EJCDLKNP_01029	105347.497286203	-3.10845817573341	0.0501248509910294	-62.0143125470781	0	0
EJCDLKNP_00386	416.485240796353	-3.09810732869953	0.147173731282618	-21.05068140693	2.25415889108822e-98	1.2200888844737e-97
EJCDLKNP_02195	12.9980395307416	-3.06180248760383	0.716340997794249	-4.27422484128607	1.91803409246668e-05	2.98537534392223e-05
EJCDLKNP_00337	5509.97370564743	-3.05857413983513	0.0675656509622551	-45.2681813358651	0	0
EJCDLKNP_02443	4.90518063470642	-3.05553029272963	1.15168753241531	-2.6530896677518	0.0079758679756243	0.0107538184016048
EJCDLKNP_00404	64.4811550955259	-2.99835012689452	0.328312754233408	-9.13260325172411	6.68715585451233e-20	1.48034017589941e-19
EJCDLKNP_00834	22023.1829271729	-2.99768897471361	0.0566902628308147	-52.8783749629077	0	0
EJCDLKNP_01515	54106.1140161435	-2.95963307684203	0.0543899610821902	-54.4150614921317	0	0
EJCDLKNP_00097	2072.71565214048	-2.93772322334046	0.107935968379758	-27.2172776826765	4.05633231440773e-163	3.30222825812489e-162
EJCDLKNP_01809	1422.67587101859	-2.92447892800013	0.091827489711534	-31.8475321190534	1.42404988436895e-222	1.57854090503481e-221
EJCDLKNP_00324	175.810015139138	-2.91629642579476	0.210640640874559	-13.8448896361433	1.36590374571968e-43	4.31005761779612e-43
EJCDLKNP_01030	215714.695762428	-2.91567838573251	0.0786865394543631	-37.0543476171494	1.52849744717859e-300	2.28438125936542e-299
EJCDLKNP_02891	9091.07816878167	-2.91513799320393	0.0590876288495247	-49.3358432207148	0	0
EJCDLKNP_00905	2683.17619196163	-2.89597213372652	0.0884374312392782	-32.7460001172028	3.46160526934178e-235	4.04617207358082e-234
EJCDLKNP_01928	1338.39856920523	-2.88635403065726	0.090575242449425	-31.8669202819847	7.67393439215771e-223	8.53796256075621e-222
EJCDLKNP_02890	3048.75520480144	-2.86178998495691	0.0785902463071901	-36.4140605154853	2.55046650240502e-290	3.66583797761947e-289
EJCDLKNP_00518	6789.77339523975	-2.85264931652415	0.0627312271718662	-45.474151313965	0	0
EJCDLKNP_00642	2452.08711175641	-2.84693170530662	0.0765553689434085	-37.1878778013746	1.07151593597709e-302	1.62567367256322e-301
EJCDLKNP_00127	56983.1337153985	-2.80404516667345	0.0590787467629699	-47.4628410437271	0	0
EJCDLKNP_01507	34845.101519538	-2.80048546466851	0.0684116366785646	-40.9358056704113	0	0
EJCDLKNP_01821	5408.70765729699	-2.79384625180971	0.0625501929917717	-44.6656695715909	0	0
EJCDLKNP_00379	2197.09688773275	-2.78646142657117	0.0894044142637608	-31.1669334172981	2.99091571590026e-213	3.1860676633207e-212
EJCDLKNP_00385	3636.49085318403	-2.78489777940112	0.0855099313867519	-32.5681208514288	1.16000907233533e-232	1.3454313719287e-231
EJCDLKNP_01513	60792.9885550277	-2.76678060767988	0.0713249706816783	-38.7911916575186	0	0
EJCDLKNP_01286	754.196537395236	-2.75870301853686	0.103190149463391	-26.7341701982472	1.88665105039167e-157	1.48753274419333e-156
